Jahr,1_Merkmal_Code,1_Auspraegung_Label,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,birth
1998,DLAND,Thüringen,Dezember,GES,Geschlecht,,Insgesamt,1341
1999,DLAND,Baden-Wuerttemberg,Januar,GES,Geschlecht,,Insgesamt,9163
1999,DLAND,Baden-Wuerttemberg,Februar,GES,Geschlecht,,Insgesamt,8569
1999,DLAND,Baden-Wuerttemberg,Maerz,GES,Geschlecht,,Insgesamt,8848
1999,DLAND,Baden-Wuerttemberg,April,GES,Geschlecht,,Insgesamt,8621
1999,DLAND,Baden-Wuerttemberg,Mai,GES,Geschlecht,,Insgesamt,9188
1999,DLAND,Baden-Wuerttemberg,Juni,GES,Geschlecht,,Insgesamt,9224
1999,DLAND,Baden-Wuerttemberg,Juli,GES,Geschlecht,,Insgesamt,9807
1999,DLAND,Baden-Wuerttemberg,August,GES,Geschlecht,,Insgesamt,9640
1999,DLAND,Baden-Wuerttemberg,September,GES,Geschlecht,,Insgesamt,9802
1999,DLAND,Baden-Wuerttemberg,Oktober,GES,Geschlecht,,Insgesamt,8834
1999,DLAND,Baden-Wuerttemberg,November,GES,Geschlecht,,Insgesamt,7832
1999,DLAND,Baden-Wuerttemberg,Dezember,GES,Geschlecht,,Insgesamt,8445
1999,DLAND,Bayern,Januar,GES,Geschlecht,,Insgesamt,10711
1999,DLAND,Bayern,Februar,GES,Geschlecht,,Insgesamt,9688
1999,DLAND,Bayern,Maerz,GES,Geschlecht,,Insgesamt,10463
1999,DLAND,Bayern,April,GES,Geschlecht,,Insgesamt,10005
1999,DLAND,Bayern,Mai,GES,Geschlecht,,Insgesamt,10292
1999,DLAND,Bayern,Juni,GES,Geschlecht,,Insgesamt,10525
1999,DLAND,Bayern,Juli,GES,Geschlecht,,Insgesamt,11179
1999,DLAND,Bayern,August,GES,Geschlecht,,Insgesamt,10863
1999,DLAND,Bayern,September,GES,Geschlecht,,Insgesamt,10856
1999,DLAND,Bayern,Oktober,GES,Geschlecht,,Insgesamt,9789
1999,DLAND,Bayern,November,GES,Geschlecht,,Insgesamt,9103
